Areaname,LND110210D
UNITED STATES,3531905.43
ALABAMA,50645.33
"Autauga, AL",594.44
"Baldwin, AL",1589.78
"Barbour, AL",884.88
"Bibb, AL",622.58
"Blount, AL",644.78
"Bullock, AL",622.81
"Butler, AL",776.83
"Calhoun, AL",605.87
"Chambers, AL",596.53
"Cherokee, AL",553.7
"Chilton, AL",692.85
"Choctaw, AL",913.5
"Clarke, AL",1238.47
"Clay, AL",603.96
"Cleburne, AL",560.1
"Coffee, AL",678.97
"Colbert, AL",592.62
"Conecuh, AL",850.16
"Coosa, AL",650.93
"Covington, AL",1030.46
"Crenshaw, AL",608.84
"Cullman, AL",734.84
"Dale, AL",561.15
"Dallas, AL",978.7
"DeKalb, AL",777.09
"Elmore, AL",618.49
"Escambia, AL",945.08
"Etowah, AL",534.99
"Fayette, AL",627.66
"Franklin, AL",633.82
"Geneva, AL",574.41
"Greene, AL",647.11
"Hale, AL",643.94
"Henry, AL",561.75
"Houston, AL",579.82
"Jackson, AL",1077.87
"Jefferson, AL",1111.28
"Lamar, AL",604.85
"Lauderdale, AL",667.7
"Lawrence, AL",690.68
"Lee, AL",607.54
"Limestone, AL",559.94
"Lowndes, AL",715.91
"Macon, AL",608.89
"Madison, AL",801.59
"Marengo, AL",976.88
"Marion, AL",742.29
"Marshall, AL",565.84
"Mobile, AL",1229.44
"Monroe, AL",1025.68
"Montgomery, AL",784.25
"Morgan, AL",579.34
"Perry, AL",719.66
"Pickens, AL",881.41
"Pike, AL",672.09
"Randolph, AL",580.55
"Russell, AL",641.14
"St. Clair, AL",631.9
"Shelby, AL",784.93
"Sumter, AL",903.89
"Talladega, AL",736.78
"Tallapoosa, AL",716.52
"Tuscaloosa, AL",1321.76
"Walker, AL",791.19
"Washington, AL",1080.21
"Wilcox, AL",888.5
"Winston, AL",612.98
ALASKA,570640.95
"Aleutians East, AK",6981.94
"Aleutians West, AK",4390.28
"Anchorage, AK",1704.68
"Bethel, AK",40570
"Bristol Bay, AK",503.84
"Denali, AK",12751.41
"Dillingham, AK",18568.78
"Fairbanks North Star, AK",7338.21
"Haines, AK",2318.6
"Hoonah-Angoon, AK",7524.92
"Juneau, AK",2701.93
"Kenai Peninsula, AK",16075.33
"Ketchikan Gateway, AK",4858.41
"Kodiak Island, AK",6549.58
"Lake and Peninsula, AK",23652.01
"Matanuska-Susitna, AK",24607.9
"Nome, AK",22961.76
"North Slope, AK",88695.41
"Northwest Arctic, AK",35572.58
"Petersburg, AK",3281.98
"Prince of Wales-Hyder, AK",3922.87
"Sitka, AK",2870.34
"Skagway, AK",452.33
"Southeast Fairbanks, AK",24768.81
"Valdez-Cordova, AK",34239.88
"Wade Hampton, AK",17081.43
"Wrangell, AK",2541.48
"Yakutat, AK",7649.46
"Yukon-Koyukuk, AK",145504.79
ARIZONA,113594.08
"Apache, AZ",11197.52
"Cochise, AZ",6165.69
"Coconino, AZ",18618.89
"Gila, AZ",4757.93
"Graham, AZ",4622.6
"Greenlee, AZ",1843.13
"La Paz, AZ",4499.63
"Maricopa, AZ",9200.14
"Mohave, AZ",13311.08
"Navajo, AZ",9950.42
"Pima, AZ",9187.04
"Pinal, AZ",5365.61
"Santa Cruz, AZ",1236.92
"Yavapai, AZ",8123.5
"Yuma, AZ",5513.99
ARKANSAS,52035.48
"Arkansas, AR",988.77
"Ashley, AR",925.35
"Baxter, AR",554.28
"Benton, AR",847.36
"Boone, AR",590.23
"Bradley, AR",649.23
"Calhoun, AR",628.58
"Carroll, AR",630.09
"Chicot, AR",644.3
"Clark, AR",866.07
"Clay, AR",639.47
"Cleburne, AR",553.69
"Cleveland, AR",597.78
"Columbia, AR",766.05
"Conway, AR",552.25
"Craighead, AR",707.21
"Crawford, AR",593.09
"Crittenden, AR",609.76
"Cross, AR",616.38
"Dallas, AR",667.39
"Desha, AR",768.15
"Drew, AR",828.36
"Faulkner, AR",647.88
"Franklin, AR",608.86
"Fulton, AR",618.19
"Garland, AR",677.78
"Grant, AR",631.81
"Greene, AR",577.7
"Hempstead, AR",727.52
"Hot Spring, AR",615.2
"Howard, AR",588.55
"Independence, AR",763.95
"Izard, AR",580.58
"Jackson, AR",633.94
"Jefferson, AR",870.75
"Johnson, AR",659.8
"Lafayette, AR",528.27
"Lawrence, AR",587.61
"Lee, AR",602.62
"Lincoln, AR",561.52
"Little River, AR",532.25
"Logan, AR",708.13
"Lonoke, AR",770.73
"Madison, AR",834.26
"Marion, AR",597.01
"Miller, AR",625.58
"Mississippi, AR",900.57
"Monroe, AR",607.12
"Montgomery, AR",779.88
"Nevada, AR",617.84
"Newton, AR",820.9
"Ouachita, AR",732.78
"Perry, AR",551.4
"Phillips, AR",695.66
"Pike, AR",600.62
"Poinsett, AR",758.39
"Polk, AR",857.68
"Pope, AR",812.55
"Prairie, AR",647.96
"Pulaski, AR",759.76
"Randolph, AR",652.19
"St. Francis, AR",634.77
"Saline, AR",723.6
"Scott, AR",892.32
"Searcy, AR",666.1
"Sebastian, AR",531.91
"Sevier, AR",565.13
"Sharp, AR",604.44
"Stone, AR",606.41
"Union, AR",1039.21
"Van Buren, AR",708.14
"Washington, AR",941.97
"White, AR",1035.08
"Woodruff, AR",586.79
"Yell, AR",929.98
CALIFORNIA,155779.22
"Alameda, CA",739.02
"Alpine, CA",738.33
"Amador, CA",594.58
"Butte, CA",1636.46
"Calaveras, CA",1020.01
"Colusa, CA",1150.73
"Contra Costa, CA",715.94
"Del Norte, CA",1006.37
"El Dorado, CA",1707.88
"Fresno, CA",5957.99
"Glenn, CA",1313.95
"Humboldt, CA",3567.99
"Imperial, CA",4176.6
"Inyo, CA",10180.88
"Kern, CA",8131.92
"Kings, CA",1389.42
"Lake, CA",1256.46
"Lassen, CA",4541.18
"Los Angeles, CA",4057.88
"Madera, CA",2137.07
"Marin, CA",520.31
"Mariposa, CA",1448.82
"Mendocino, CA",3506.34
"Merced, CA",1934.97
"Modoc, CA",3917.77
"Mono, CA",3048.98
"Monterey, CA",3280.6
"Napa, CA",748.36
"Nevada, CA",957.77
"Orange, CA",790.57
"Placer, CA",1407.01
"Plumas, CA",2553.04
"Riverside, CA",7206.48
"Sacramento, CA",964.64
"San Benito, CA",1388.71
"San Bernardino, CA",20056.94
"San Diego, CA",4206.63
"San Francisco, CA",46.87
"San Joaquin, CA",1391.32
"San Luis Obispo, CA",3298.57
"San Mateo, CA",448.41
"Santa Barbara, CA",2735.09
"Santa Clara, CA",1290.1
"Santa Cruz, CA",445.17
"Shasta, CA",3775.4
"Sierra, CA",953.21
"Siskiyou, CA",6277.89
"Solano, CA",821.77
"Sonoma, CA",1575.85
"Stanislaus, CA",1494.83
"Sutter, CA",602.41
"Tehama, CA",2949.71
"Trinity, CA",3179.25
"Tulare, CA",4824.22
"Tuolumne, CA",2220.88
"Ventura, CA",1843.13
"Yolo, CA",1014.69
"Yuba, CA",631.84
COLORADO,103641.89
"Adams, CO",1167.65
"Alamosa, CO",722.64
"Arapahoe, CO",798.1
"Archuleta, CO",1350.18
"Baca, CO",2554.97
"Bent, CO",1512.86
"Boulder, CO",726.29
"Broomfield, CO",33.03
"Chaffee, CO",1013.4
"Cheyenne, CO",1778.28
"Clear Creek, CO",395.23
"Conejos, CO",1287.39
"Costilla, CO",1226.95
"Crowley, CO",787.42
"Custer, CO",738.63
"Delta, CO",1142.05
"Denver, CO",153
"Dolores, CO",1067.05
"Douglas, CO",840.25
"Eagle, CO",1684.53
"Elbert, CO",1850.85
"El Paso, CO",2126.8
"Fremont, CO",1533.07
"Garfield, CO",2947.56
"Gilpin, CO",149.9
"Grand, CO",1846.33
"Gunnison, CO",3239.1
"Hinsdale, CO",1117.25
"Huerfano, CO",1591
"Jackson, CO",1613.72
"Jefferson, CO",764.21
"Kiowa, CO",1767.77
"Kit Carson, CO",2160.82
"Lake, CO",376.91
"La Plata, CO",1692.08
"Larimer, CO",2596
"Las Animas, CO",4772.67
"Lincoln, CO",2577.63
"Logan, CO",1838.55
"Mesa, CO",3328.97
"Mineral, CO",875.67
"Moffat, CO",4743.29
"Montezuma, CO",2029.53
"Montrose, CO",2240.7
"Morgan, CO",1280.43
"Otero, CO",1261.96
"Ouray, CO",541.59
"Park, CO",2193.85
"Phillips, CO",687.93
"Pitkin, CO",970.7
"Prowers, CO",1638.4
"Pueblo, CO",2386.1
"Rio Blanco, CO",3220.93
"Rio Grande, CO",911.96
"Routt, CO",2362.03
"Saguache, CO",3168.53
"San Juan, CO",387.49
"San Miguel, CO",1286.61
"Sedgwick, CO",548.04
"Summit, CO",608.36
"Teller, CO",557.06
"Washington, CO",2518.03
"Weld, CO",3987.24
"Yuma, CO",2364.41
CONNECTICUT,4842.36
"Fairfield, CT",624.89
"Hartford, CT",735.1
"Litchfield, CT",920.56
"Middlesex, CT",369.3
"New Haven, CT",604.51
"New London, CT",664.88
"Tolland, CT",410.21
"Windham, CT",512.91
DELAWARE,1948.54
"Kent, DE",586.18
"New Castle, DE",426.29
"Sussex, DE",936.08
DISTRICT OF COLUMBIA,61.05
