,County Name,State,month0.0_x,month1.0_x,month2.0_x,month3.0_x,month4.0_x,month5.0_x,month6.0_x,month7.0_x,month8.0_x,month9.0_x,month0.0_y,month1.0_y,month2.0_y,month3.0_y,month4.0_y,month5.0_y,month6.0_y,month7.0_y,month8.0_y,month9.0_y,population
0,Statewide Unallocated,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Autauga County,AL,0,0,12,48,238,561,1030,1442,1791,2141,0,0,0,3,5,13,21,23,27,30,55869
2,Baldwin County,AL,0,0,28,187,292,751,3142,4545,5640,6888,0,0,0,4,9,10,22,42,52,71,223234
3,Barbour County,AL,0,0,1,45,175,335,602,757,896,1056,0,0,0,1,1,1,5,7,7,9,24686
4,Bibb County,AL,0,0,4,42,76,179,368,554,664,866,0,0,0,0,1,1,2,8,10,15,22394
5,Blount County,AL,0,0,9,40,63,222,792,1287,1629,2039,0,0,0,0,1,1,3,11,15,25,57826
6,Bullock County,AL,0,0,2,14,212,369,443,551,610,651,0,0,0,0,6,10,12,14,15,17,10101
7,Butler County,AL,0,0,1,105,416,610,757,866,917,1020,0,0,0,1,18,27,36,37,40,41,19448
8,Calhoun County,AL,0,0,20,105,165,288,1480,2567,3569,4806,0,0,0,3,3,5,9,36,44,63,113605
9,Chambers County,AL,0,0,81,300,358,611,861,1033,1179,1381,0,0,4,21,26,27,38,40,42,47,33254
10,Cherokee County,AL,0,0,5,16,38,82,243,405,620,769,0,0,0,0,3,7,8,12,13,15,26196
11,Chilton County,AL,0,0,15,57,104,222,713,1194,1609,1926,0,0,0,1,1,3,6,13,30,32,44428
12,Choctaw County,AL,0,0,4,49,153,193,276,326,352,395,0,0,0,0,10,12,12,12,12,12,12589
13,Clarke County,AL,0,0,3,42,147,269,499,992,1109,1391,0,0,0,1,2,6,9,14,16,17,23622
14,Clay County,AL,0,0,8,22,28,61,204,373,592,767,0,0,0,1,2,2,5,6,9,12,13235
15,Cleburne County,AL,0,0,7,12,15,30,113,206,408,581,0,0,0,1,1,1,1,5,5,9,14910
16,Coffee County,AL,0,0,6,130,238,364,720,1087,1393,1851,0,0,0,0,1,2,5,5,5,11,52342
17,Colbert County,AL,0,0,5,41,187,386,1067,1466,1684,2125,0,0,0,2,2,5,11,22,26,32,55241
18,Conecuh County,AL,0,0,1,9,41,188,377,485,538,573,0,0,0,0,1,6,10,11,11,13,12067
19,Coosa County,AL,0,0,6,30,40,57,96,135,174,219,0,0,0,1,1,1,2,3,3,3,10663
20,Covington County,AL,0,0,4,45,81,340,787,1096,1416,1787,0,0,0,1,1,8,21,26,28,29,37049
21,Crenshaw County,AL,0,0,1,23,78,128,294,472,543,616,0,0,0,0,3,3,4,27,30,30,13772
22,Cullman County,AL,0,0,15,58,150,422,1154,1644,1922,2719,0,0,0,0,1,4,11,14,20,25,83768
23,Dale County,AL,0,0,1,34,123,265,781,1103,1418,1862,0,0,0,0,0,0,18,38,44,52,49172
24,Dallas County,AL,0,0,7,59,282,849,1338,1615,1799,1894,0,0,0,3,3,9,23,25,26,27,37196
25,DeKalb County,AL,0,0,10,79,254,650,1684,2152,2461,3579,0,0,0,2,3,5,12,16,21,29,71513
26,Elmore County,AL,0,0,19,103,372,849,1622,2195,2739,3292,0,0,0,2,9,14,37,44,48,58,81209
27,Escambia County,AL,0,0,2,30,73,293,1020,1404,1620,1760,0,0,0,2,3,6,15,22,24,31,36633
28,Etowah County,AL,0,0,21,143,261,653,1938,2806,3575,4445,0,0,1,10,12,13,24,40,45,53,102268
29,Fayette County,AL,0,0,1,6,16,70,175,315,473,604,0,0,0,0,0,1,5,6,10,13,16302
30,Franklin County,AL,0,0,5,132,573,867,1177,1565,1794,2107,0,0,0,0,8,14,20,27,30,32,31362
31,Geneva County,AL,0,0,0,10,43,70,226,438,650,959,0,0,0,0,0,0,1,4,5,7,26271
32,Greene County,AL,0,0,5,58,95,178,242,285,306,346,0,0,0,1,4,8,11,15,15,16,8111
33,Hale County,AL,0,0,3,52,178,301,457,559,653,783,0,0,0,2,9,21,25,28,28,30,14651
34,Henry County,AL,0,0,2,27,81,131,250,376,514,736,0,0,0,1,2,4,4,4,5,6,17205
35,Houston County,AL,0,0,12,95,223,461,1313,2061,2954,4265,0,0,0,3,5,6,14,19,21,35,105882
36,Jackson County,AL,0,0,12,50,83,256,795,1318,1611,2282,0,0,1,2,3,3,5,9,12,18,51626
37,Jefferson County,AL,0,0,369,969,1876,4581,11680,16426,20221,24088,0,0,0,48,103,145,227,303,352,384,658573
38,Lamar County,AL,0,0,1,11,26,72,196,291,382,525,0,0,0,0,0,1,2,2,2,5,13805
39,Lauderdale County,AL,0,0,14,61,167,459,1036,1437,1759,2437,0,0,1,2,2,6,12,24,34,43,92729
40,Lawrence County,AL,0,0,4,14,51,103,303,476,636,899,0,0,0,0,0,0,0,5,25,33,32924
41,Lee County,AL,0,0,99,400,552,1267,2597,4564,6017,6669,0,0,2,28,34,38,43,54,61,65,164542
42,Limestone County,AL,0,0,30,45,108,434,1177,1687,2157,3003,0,0,0,0,0,0,13,16,20,33,98915
43,Lowndes County,AL,0,0,2,71,254,462,557,619,659,723,0,0,0,1,12,21,26,26,27,28,9726
44,Macon County,AL,0,0,5,40,85,179,314,435,483,550,0,0,0,2,4,8,12,18,18,20,18068
