,state,county,candidate,party,votes,won,total_votes,percent,State
0,Delaware,Kent County,Donald Trump,REP,41009,False,87025,0.47123240448147086,DE
1,Delaware,New Castle County,Donald Trump,REP,88364,False,287633,0.3072109250329413,DE
2,Delaware,Sussex County,Donald Trump,REP,71230,True,129352,0.5506679448327045,DE
3,District of Columbia,District of Columbia,Donald Trump,REP,1703,False,40631,0.041913809652728215,DC
4,District of Columbia,Ward 2,Donald Trump,REP,2874,False,31929,0.09001221460114629,DC
5,District of Columbia,Ward 3,Donald Trump,REP,3638,False,43188,0.08423636195239419,DC
6,District of Columbia,Ward 4,Donald Trump,REP,1885,False,44361,0.04249227925429995,DC
7,District of Columbia,Ward 5,Donald Trump,REP,1725,False,45176,0.03818399149991146,DC
8,District of Columbia,Ward 6,Donald Trump,REP,4176,False,58315,0.07161107776729829,DC
9,District of Columbia,Ward 7,Donald Trump,REP,1116,False,37836,0.029495718363463368,DC
10,District of Columbia,Ward 8,Donald Trump,REP,1055,False,32246,0.03271723624635614,DC
11,Florida,Alachua County,Donald Trump,REP,50972,False,142604,0.35743737903565115,FL
12,Florida,Baker County,Donald Trump,REP,11911,True,14059,0.8472153069208336,FL
13,Florida,Bay County,Donald Trump,REP,66097,True,93024,0.7105370657034744,FL
14,Florida,Bradford County,Donald Trump,REP,10334,True,13632,0.7580692488262911,FL
15,Florida,Brevard County,Donald Trump,REP,207883,True,360764,0.5762298899003226,FL
16,Florida,Broward County,Donald Trump,REP,333409,False,957672,0.3481452940046279,FL
17,Florida,Calhoun County,Donald Trump,REP,5274,True,6526,0.8081520073551947,FL
18,Florida,Charlotte County,Donald Trump,REP,73243,True,116340,0.629559910606842,FL
19,Florida,Citrus County,Donald Trump,REP,65352,True,93208,0.7011415329156295,FL
20,Florida,Clay County,Donald Trump,REP,84480,True,124405,0.6790723845504602,FL
21,Florida,Collier County,Donald Trump,REP,128950,True,207818,0.6204948560759895,FL
22,Florida,Columbia County,Donald Trump,REP,23836,True,33042,0.7213849040614975,FL
23,Florida,DeSoto County,Donald Trump,REP,8313,True,12659,0.6566869420965321,FL
24,Florida,Dixie County,Donald Trump,REP,6759,True,8167,0.8275988735153668,FL
25,Florida,Duval County,Donald Trump,REP,233762,False,492820,0.4743354571648878,FL
26,Florida,Escambia County,Donald Trump,REP,96674,True,170372,0.5674289202451107,FL
27,Florida,Flagler County,Donald Trump,REP,43043,True,71716,0.6001868481231525,FL
28,Florida,Franklin County,Donald Trump,REP,4675,True,6849,0.6825813987443422,FL
29,Florida,Gadsden County,Donald Trump,REP,7465,False,23762,0.31415705748674355,FL
30,Florida,Gilchrist County,Donald Trump,REP,7895,True,9685,0.8151781104801239,FL
31,Florida,Glades County,Donald Trump,REP,3782,True,5193,0.7282880801078375,FL
32,Florida,Gulf County,Donald Trump,REP,6113,True,8163,0.7488668381722406,FL
33,Florida,Hamilton County,Donald Trump,REP,3815,True,5830,0.6543739279588336,FL
34,Florida,Hardee County,Donald Trump,REP,6122,True,8485,0.7215085444902769,FL
35,Florida,Hendry County,Donald Trump,REP,7906,True,12940,0.6109737248840804,FL
