fips,stname,ctyname,year,tot_pop,nh_male,nh_female,h_male,h_female,white_male,white_female,black_male,black_female,native_male,native_female,asian_male,asian_female
01001,Alabama,Autauga County,2000,44021,21052,22357,333,279,17558,18136,3489,4063,94,104,63,146
01001,Alabama,Autauga County,2001,44889,21449,22760,364,316,17891,18451,3533,4141,107,112,87,163
01001,Alabama,Autauga County,2002,45909,21967,23202,395,345,18245,18824,3701,4201,108,112,100,178
01001,Alabama,Autauga County,2003,46800,22335,23673,425,367,18509,19207,3805,4284,110,115,108,186
01001,Alabama,Autauga County,2004,48366,23056,24441,456,413,19116,19777,3909,4484,111,115,122,204
01001,Alabama,Autauga County,2005,49676,23687,25002,513,474,19548,20314,4102,4527,108,118,151,209
01001,Alabama,Autauga County,2006,51328,24428,25857,560,483,20127,20904,4280,4763,109,121,161,213
01001,Alabama,Autauga County,2007,52405,24852,26390,616,547,20471,21313,4402,4888,109,124,151,253
01001,Alabama,Autauga County,2008,53277,25265,26837,608,567,20801,21558,4436,5054,116,136,169,259
01001,Alabama,Autauga County,2009,54135,25692,27176,672,595,21122,21812,4562,5132,119,134,186,274
01001,Alabama,Autauga County,2010,54632,25882,27407,714,629,21309,22011,4584,5159,129,151,206,284
01003,Alabama,Baldwin County,2000,141342,67939,70908,1363,1132,60945,63184,7134,7480,419,404,209,339
01003,Alabama,Baldwin County,2001,144875,69335,72637,1576,1327,62345,64850,7213,7662,452,433,244,365
01003,Alabama,Baldwin County,2002,147957,70617,74092,1782,1466,63676,66218,7284,7752,471,454,266,407
01003,Alabama,Baldwin County,2003,151509,72205,75655,1997,1652,65249,67777,7389,7846,508,473,272,443
01003,Alabama,Baldwin County,2004,156266,74292,77864,2255,1855,67286,69850,7468,8020,511,504,413,521
01003,Alabama,Baldwin County,2005,162183,76811,80637,2605,2130,69904,72545,7635,8209,522,527,406,574
01003,Alabama,Baldwin County,2006,168121,79202,83451,2990,2478,72400,75342,7788,8384,559,577,412,618
01003,Alabama,Baldwin County,2007,172404,80880,85400,3293,2831,74128,77373,7976,8500,582,588,435,686
01003,Alabama,Baldwin County,2008,175827,82107,86867,3690,3163,75473,78859,8074,8614,592,628,487,735
01003,Alabama,Baldwin County,2009,179406,83587,88303,4114,3402,77047,80247,8257,8731,660,660,532,796
01003,Alabama,Baldwin County,2010,183195,85189,89928,4466,3612,78715,81743,8455,8951,660,678,553,839
01005,Alabama,Barbour County,2000,29015,14625,13912,329,149,7907,7225,6807,6672,88,43,42,45
01005,Alabama,Barbour County,2001,28863,14508,13763,385,207,7878,7188,6774,6613,87,44,43,46
01005,Alabama,Barbour County,2002,28653,14483,13479,437,254,7799,6995,6872,6562,89,49,46,49
01005,Alabama,Barbour County,2003,28594,14551,13265,470,308,7799,6921,6959,6470,90,49,52,50
01005,Alabama,Barbour County,2004,28287,14340,13082,514,351,7673,6832,6908,6418,94,55,52,49
01005,Alabama,Barbour County,2005,28027,14122,12910,591,404,7606,6778,6844,6352,83,55,54,48
01005,Alabama,Barbour County,2006,27861,14043,12681,675,462,7591,6699,6849,6254,87,59,52,48
01005,Alabama,Barbour County,2007,27757,13897,12615,724,521,7547,6664,6788,6269,87,64,54,48
01005,Alabama,Barbour County,2008,27808,13983,12481,791,553,7619,6622,6857,6212,87,65,58,51
01005,Alabama,Barbour County,2009,27657,13911,12388,777,581,7521,6589,6866,6158,93,73,60,53
01005,Alabama,Barbour County,2010,27411,13777,12275,767,592,7437,6495,6789,6117,82,70,63,53
01007,Alabama,Bibb County,2000,19913,9705,10002,120,86,7773,7962,1971,2044,24,26,6,11
01007,Alabama,Bibb County,2001,21028,10561,10223,154,90,8110,8182,2522,2051,25,26,6,11
01007,Alabama,Bibb County,2002,21199,10713,10226,168,92,8193,8158,2597,2074,26,28,6,10
01007,Alabama,Bibb County,2003,21399,10866,10239,199,95,8325,8192,2640,2052,29,28,6,10
01007,Alabama,Bibb County,2004,21721,11087,10315,227,92,8469,8260,2735,2051,31,30,6,10
01007,Alabama,Bibb County,2005,22042,11321,10394,227,100,8609,8332,2809,2049,31,25,12,10
01007,Alabama,Bibb County,2006,22099,11417,10335,246,101,8690,8297,2828,2011,32,30,13,10
01007,Alabama,Bibb County,2007,22438,11595,10492,254,97,8830,8451,2872,2002,32,32,13,10
01007,Alabama,Bibb County,2008,22705,11775,10567,265,98,8907,8487,2979,2043,32,32,13,9
01007,Alabama,Bibb County,2009,22941,12033,10504,300,104,9073,8485,3098,1987,35,33,13,9
01007,Alabama,Bibb County,2010,22867,11982,10482,290,113,9025,8472,3085,1980,46,40,24,19
01009,Alabama,Blount County,2000,51107,23902,24473,1617,1115,24883,24865,292,316,148,120,27,55
01009,Alabama,Blount County,2001,51845,24231,24743,1692,1179,25192,25147,350,359,167,124,27,61
01009,Alabama,Blount County,2002,52551,24394,25107,1781,1269,25405,25544,382,390,161,131,29,64
01009,Alabama,Blount County,2003,53457,24789,25499,1819,1350,25812,25961,397,435,167,141,30,62
01009,Alabama,Blount County,2004,54124,24996,25755,1937,1436,26085,26272,420,450,179,142,31,64
01009,Alabama,Blount County,2005,54624,25099,25917,2053,1555,26308,26561,405,429,171,142,38,66
01009,Alabama,Blount County,2006,55485,25393,26299,2135,1658,26657,27002,403,441,170,141,40,73
01009,Alabama,Blount County,2007,56240,25679,26532,2262,1767,27007,27337,437,442,178,149,40,73
01009,Alabama,Blount County,2008,57055,25948,26805,2410,1892,27399,27737,451,420,175,152,43,74
01009,Alabama,Blount County,2009,57341,25910,26958,2485,1988,27429,27951,446,422,174,168,45,78
01009,Alabama,Blount County,2010,57338,25789,26899,2576,2074,27400,27972,428,411,151,153,64,94
01011,Alabama,Bullock County,2000,11581,5843,5416,219,103,1717,1245,4274,4212,37,7,8,13
01011,Alabama,Bullock County,2001,11358,5720,5232,265,141,1731,1225,4182,4086,38,8,8,13
01011,Alabama,Bullock County,2002,11256,5671,5114,304,167,1765,1217,4129,3997,39,9,8,13
01011,Alabama,Bullock County,2003,11316,5739,5035,348,194,1820,1220,4174,3932,42,18,7,12
01011,Alabama,Bullock County,2004,11056,5550,4916,382,208,1772,1155,4063,3890,44,19,7,12
01011,Alabama,Bullock County,2005,11011,5498,4889,403,221,1780,1152,4013,3862,32,28,9,11
01011,Alabama,Bullock County,2006,10776,5365,4757,399,255,1702,1123,3949,3789,25,31,11,10
01011,Alabama,Bullock County,2007,11011,5526,4772,432,281,1797,1100,4043,3844,28,37,11,11
01011,Alabama,Bullock County,2008,10953,5537,4680,420,316,1795,1112,4025,3758,29,44,10,10
