,County Name,hispanic,his_total,black,black_total,white,white_total,asian,asian_total,State
10,Autauga,1343,0.02458266217601406,9743,0.17833870259188753,43320,0.7929418655732904,490,0.00896910235759262,AL
21,Baldwin,8078,0.04409508993149376,17406,0.09501351019405552,160458,0.8758863506100057,1392,0.007598460656677311,AL
32,Barbour,1359,0.049578636313888584,12906,0.470832877312028,13932,0.5082631060523147,116,0.004231877713326767,AL
43,Bibb,403,0.01762364980102331,5065,0.2214982288887917,17497,0.7651637731228408,43,0.0018804390606550925,AL
54,Blount,4650,0.08109805015870801,839,0.014632529910356134,55372,0.9657120932017161,158,0.0027555896613066376,AL
65,Bullock,702,0.06446280991735537,7721,0.7089990817263545,2824,0.2593204775022957,49,0.0044995408631772265,AL
76,Butler,205,0.009784735812133072,9114,0.4350150350818577,11454,0.546704214595962,167,0.007970979905493772,AL
87,Calhoun,3981,0.03359210193232639,24564,0.20727364779343516,90509,0.7637245802042022,883,0.007450848029702135,AL
98,Chambers,553,0.016189946423866265,13308,0.3896126709020113,20234,0.5923822349737975,170,0.004977017887987821,AL
109,Cherokee,359,0.013812473548536031,1248,0.04801662113808626,24233,0.9323612019545228,72,0.002770189681043438,AL
120,Chilton,3418,0.07824733299757337,4356,0.09972070875875647,38477,0.8808433679776567,153,0.0035025868778902065,AL
131,Choctaw,73,0.005282199710564399,5975,0.43234442836468884,7722,0.5587554269175109,24,0.0017366136034732273,AL
142,Clarke,273,0.010596592011799869,11342,0.4402437604316268,14074,0.5462873112603346,81,0.00314404378372084,AL
153,Clay,391,0.02813556882780456,2071,0.14902496941785998,11509,0.8281643520184212,35,0.0025185291789594877,AL
164,Cleburne,309,0.020616493194555646,505,0.0336936215639178,14252,0.9508940485721911,29,0.0019348812383239925,AL
175,Coffee,3215,0.06416653361009102,8529,0.17022593006546383,38813,0.7746487306402683,660,0.013172600989940922,AL
186,Colbert,1149,0.02110851872944721,8837,0.1623463707677328,44267,0.813238292947293,245,0.0045009461172450535,AL
197,Conecuh,158,0.01196788365399182,6153,0.4660657476139979,6843,0.5183305559763672,30,0.0022723829722769277,AL
208,Coosa,210,0.018172377985462097,3598,0.3113534094842506,7750,0.6706472827968155,34,0.0029421945309795776,AL
219,Covington,531,0.014056543837357053,4757,0.125926514188903,32163,0.8514135959339263,159,0.004209021601016518,AL
230,Crenshaw,231,0.016670274951288158,3253,0.23475499747420076,10149,0.7324096124702316,178,0.012845493252507757,AL
241,Cullman,3496,0.043450701599572455,955,0.011869399321393505,77868,0.9677972632023764,330,0.0041014678283349286,AL
252,Dale,2863,0.05685293299972199,9838,0.19536121370983756,38167,0.7579133404821479,545,0.010822510822510822,AL
263,Dallas,329,0.007513130851792647,30447,0.6952957296186344,12819,0.2927380680520667,145,0.0033112582781456954,AL
274,DeKalb,9622,0.13523351744880607,1306,0.018355328807746905,65939,0.9267473401638768,275,0.0038650194656434907,AL
285,Elmore,2159,0.02714050459465235,16071,0.20202642396510326,61489,0.7729701190461226,531,0.006675131051301714,AL
296,Escambia,762,0.01989971795675337,12272,0.3204846965423587,24067,0.6285124830251749,118,0.003081583620599603,AL
307,Etowah,3414,0.03268174072868603,15972,0.15289770442840458,85426,0.8177710555034367,743,0.007112634259347897,AL
318,Fayette,192,0.011150473314362043,1976,0.11475695452697601,14975,0.8696788431383936,41,0.002381090655671061,AL
329,Franklin,4640,0.1462384569321441,1323,0.041696870370954014,29404,0.92672318698982,89,0.0028050048851208675,AL
340,Geneva,926,0.03453291068431848,2603,0.09707253402946112,23548,0.8781652060413947,70,0.002610479209397725,AL
351,Greene,62,0.006898853900077891,7307,0.8130633136753088,1548,0.1722488038277512,22,0.0024479804161566705,AL
362,Hale,126,0.008021390374331552,9268,0.5900178253119429,6274,0.39941431117901705,34,0.0021645021645021645,AL
373,Henry,376,0.021725313456982722,4972,0.2872826024152077,12043,0.6958456116022419,50,0.0028890044490668516,AL
384,Houston,3038,0.029817054020100504,26496,0.2600502512562814,72373,0.7103191739949749,850,0.008342493718592964,AL
395,Jackson,1315,0.024751543442252673,1852,0.03485920795060985,48862,0.9197033579280229,221,0.00415976509561813,AL
406,Jefferson,25635,0.038926133732186376,278621,0.4230793175968598,361186,0.5484522932784658,9341,0.014184084852442089,AL
417,Lamar,171,0.011786600496277916,1645,0.1133857182244279,12626,0.8702784670526607,20,0.0013785497656465398,AL
428,Lauderdale,2098,0.02263727489506792,9341,0.10078874394415131,80975,0.8737146494890968,697,0.0075205817930707065,AL
439,Lawrence,647,0.018839904490128706,3976,0.11577660008153282,26898,0.7832391823423214,72,0.0020965581503698096,AL
450,Lee,4643,0.03298053700809774,32360,0.22986219633470664,102000,0.724534735047592,3762,0.02672254581616707,AL
461,Limestone,4644,0.055822004255165696,10697,0.1285805296118664,69274,0.8326902503816427,952,0.011443270467467214,AL
472,Lowndes,65,0.005773159250377476,8269,0.7344346744826361,2840,0.2522426503241851,20,0.0017763566924238387,AL
483,Macon,228,0.010584958217270195,17825,0.8275301764159703,3364,0.1561745589600743,77,0.003574744661095636,AL
494,Madison,15543,0.04626058073502625,81794,0.24344321821017417,234871,0.6990457992547353,8473,0.025218162553424527,AL
505,Marengo,312,0.014874851013110845,10872,0.518331346841478,9802,0.4673182359952324,51,0.002431466030989273,AL
516,Marion,626,0.020344491387715307,1220,0.03964900877478063,29093,0.9454988625284367,58,0.0018849528761780956,AL
527,Marshall,11288,0.12107041347133587,1815,0.01946693838150909,88173,0.9457070842494771,519,0.005566579074381938,AL
538,Mobile,10046,0.024308151675510613,143900,0.3481926165743557,251970,0.609687933274777,7708,0.0186509290379092,AL
549,Monroe,268,0.011655214403757502,9605,0.41771766547795075,12733,0.5537531529964339,81,0.0035226580847177525,AL
560,Montgomery,8357,0.03635944379666208,126375,0.5498294495396878,94768,0.41231443935886947,4934,0.021466733958685022,AL
571,Morgan,9184,0.07677260796147994,14550,0.12162907729088994,100796,0.8425927473960511,733,0.006127430491699129,AL
582,Perry,98,0.009283819628647215,7227,0.6846343311860553,3178,0.3010610079575597,34,0.003220917014020462,AL
593,Pickens,262,0.013296117736615072,8202,0.416239533113423,11182,0.5674701852321746,40,0.0020299416391778738,AL
604,Pike,752,0.022817610826228116,12145,0.3685104833571017,19477,0.5909821889128258,657,0.01993506690536153,AL
615,Randolph,643,0.028058998079944143,4637,0.20234770466049923,17865,0.7795863152382615,63,0.002749170884971199,AL
626,Russell,1972,0.037076032187711515,22395,0.4210536211175453,29174,0.5485071820711439,247,0.004643904640144393,AL
637,St.,1743,0.020809207148911785,7221,0.0862095724740631,74643,0.8911426558899727,530,0.006327527130764915,AL
648,Shelby,11682,0.059654390587658555,21102,0.10775782829830259,167784,0.8567926956308597,3879,0.01980819903180342,AL
659,Sumter,84,0.006111757857974389,10283,0.7481810244470314,3321,0.2416327124563446,34,0.0024738067520372526,AL
670,Talladega,1700,0.020703933747412008,26138,0.3183290707587383,54274,0.6609913530629643,355,0.004323468517841919,AL
681,Tallapoosa,1031,0.024833799017246364,11147,0.2684988919934483,29565,0.7121350804509105,210,0.005058290779458522,AL
692,Tuscaloosa,6012,0.03082507844705593,58073,0.29775528620357267,132042,0.6770134744354889,2366,0.012131093746795463,AL
703,Walker,1326,0.019806712772790416,3964,0.05921101767069473,61641,0.9207432745305988,216,0.0032264328498663123,AL
714,Washington,187,0.010626811388304824,4414,0.2508382110587032,11565,0.6572142978916861,48,0.002727737682559527,AL
725,Wilcox,66,0.0056823073611709,8391,0.7224278949634094,3091,0.2661213947481705,24,0.002066293585880327,AL
736,Winston,623,0.025538020086083215,189,0.0077474892395982785,23640,0.9690510350481656,77,0.0031563845050215206,AL
747,Aleutians,384,0.12171156893819335,223,0.07068145800316958,780,0.24722662440570523,1123,0.3559429477020602,AK
758,Aleutians,733,0.13188197193234977,353,0.0635120546959338,2264,0.4073407700611731,1624,0.29219143576826195,AK
769,Anchorage,22302,0.07605711615915314,17132,0.05842572477977812,199265,0.6795588400795288,24248,0.08269361279827574,AK
780,Bethel,191,0.01117612638970158,58,0.0033937975424224694,1937,0.1133411351667642,172,0.010064365125804563,AK
791,Bristol,34,0.03396603396603397,13,0.012987012987012988,474,0.47352647352647353,16,0.015984015984015984,AK
802,Denali,36,0.019618528610354225,6,0.0032697547683923707,1633,0.8899182561307902,20,0.010899182561307902,AK
813,Dillingham,93,0.01906909985646914,24,0.004921058027475908,913,0.18720524912856265,46,0.00943202788599549,AK
824,Fairbanks,5714,0.05811990153996379,4594,0.046727831234615616,77112,0.7843440405232215,2712,0.02758508452509307,AK
835,Haines,48,0.01910828025477707,13,0.0051751592356687895,2068,0.8232484076433121,22,0.00875796178343949,AK
846,Hoonah-Angoon,94,0.04370060437006044,23,0.010692701069270108,983,0.4569967456996746,38,0.017666201766620176,AK
857,Juneau,1661,0.05287114845938375,300,0.009549274255156608,22215,0.7071237585943468,1980,0.06302521008403361,AK
868,Kenai,1690,0.03039021758676497,291,0.005232871785650063,47372,0.8518611760474735,676,0.012156087034705988,AK
879,Ketchikan,561,0.041466479414590876,93,0.0068741222558947445,9305,0.6877818020548452,946,0.06992386724813364,AK
890,Kodiak,983,0.0721044524315998,122,0.008948874055600381,7881,0.5780825937064475,2669,0.19577495782292967,AK
901,Lake,62,0.037966932026944275,30,0.01837109614206981,361,0.22106552357624004,21,0.012859767299448868,AK
